subgroup,date,approval,disapproval
Voters,04.10.2020,44.668253,52.196997
Adults,04.10.2020,43.164862,52.619902
Adults,03.10.2020,43.164862,52.619902
Voters,03.10.2020,44.988484,51.742314
Adults,02.10.2020,43.277257,52.425932
Voters,02.10.2020,44.508121,52.14795
Voters,01.10.2020,44.121061,52.783256
Adults,01.10.2020,42.676607,53.282143
Adults,30.09.2020,42.225889,53.746233
Voters,30.09.2020,44.18968,52.677147
Voters,29.09.2020,44.259678,52.40992
Adults,29.09.2020,41.976736,53.277067
Adults,28.09.2020,42.038574,53.332385
Voters,28.09.2020,44.263237,52.407347
Adults,27.09.2020,42.038574,53.332385
Voters,27.09.2020,44.28928,52.22449
Voters,26.09.2020,43.919316,52.702484
Adults,26.09.2020,41.265648,53.919465
Adults,25.09.2020,41.265648,53.919465
Voters,25.09.2020,43.919316,52.702484
Voters,24.09.2020,43.867556,52.826619
Adults,24.09.2020,41.107704,54.154437
Adults,23.09.2020,41.009062,54.184102
Voters,23.09.2020,43.47008,53.022982
Adults,22.09.2020,41.036704,53.759231
Voters,22.09.2020,43.139061,53.221237
Voters,21.09.2020,43.095794,53.228666
Adults,21.09.2020,40.775537,53.972509
Voters,20.09.2020,43.971201,52.776949
Adults,20.09.2020,41.624382,53.32548
Adults,19.09.2020,41.624382,53.32548
Voters,19.09.2020,43.879983,52.68666
Voters,18.09.2020,43.879983,52.68666
Adults,18.09.2020,41.624382,53.32548
Voters,17.09.2020,43.707177,52.925473
Adults,17.09.2020,41.96297,53.515044
Adults,16.09.2020,41.472472,53.886346
Voters,16.09.2020,43.81705,52.856107
Voters,15.09.2020,43.807024,52.79834
Adults,15.09.2020,41.303258,53.71976
Adults,14.09.2020,41.432106,53.577168
Voters,14.09.2020,43.844448,52.784307
Voters,13.09.2020,43.784654,52.836578
Adults,13.09.2020,41.340194,53.498731
Adults,12.09.2020,41.340194,53.498731
Voters,12.09.2020,43.021278,53.228217
Adults,11.09.2020,41.35091,53.518576
Voters,11.09.2020,43.021278,53.228217
Voters,10.09.2020,43.022355,53.225414
Adults,10.09.2020,41.512838,53.947723
Voters,09.09.2020,43.194505,53.188114
Adults,09.09.2020,41.145925,54.123225
Voters,08.09.2020,43.900108,52.18123
Adults,08.09.2020,41.436258,53.670444
Adults,07.09.2020,41.478483,53.612054
Voters,07.09.2020,44.052782,52.080897
Voters,06.09.2020,43.992693,52.120935
Adults,06.09.2020,41.52114,53.357716
Adults,05.09.2020,41.52114,53.357716
Voters,05.09.2020,43.992693,52.120935
Adults,04.09.2020,41.52114,53.357716
Voters,04.09.2020,43.992693,52.120935
Voters,03.09.2020,43.901355,52.202635
Adults,03.09.2020,41.52114,53.357716
Adults,02.09.2020,41.393013,53.415751
Voters,02.09.2020,43.889747,52.30807
Adults,01.09.2020,40.710184,55.451356
Voters,01.09.2020,44.523388,52.066883
Voters,31.08.2020,44.347452,52.253319
Adults,31.08.2020,40.523852,55.680858
Adults,30.08.2020,40.545451,55.667372
Voters,30.08.2020,42.931703,53.351105
Adults,29.08.2020,40.545451,55.667372
Voters,29.08.2020,42.931703,53.351105
Voters,28.08.2020,42.93757,53.354962
Adults,28.08.2020,40.591327,55.610336
Voters,27.08.2020,43.345831,53.374763
Adults,27.08.2020,40.520656,55.620215
Adults,26.08.2020,40.520656,55.620215
Voters,26.08.2020,43.226579,53.317282
Voters,25.08.2020,42.550279,53.830702
Adults,25.08.2020,40.24987,55.959876
Adults,24.08.2020,40.208898,56.024279
Voters,24.08.2020,42.553595,53.855702
Voters,23.08.2020,42.072002,54.114714
Adults,23.08.2020,40.820818,55.17111
Adults,22.08.2020,40.890804,55.074371
Voters,22.08.2020,42.178473,53.992381
Adults,21.08.2020,40.890804,55.074371
Voters,21.08.2020,42.109292,54.201881
Voters,20.08.2020,42.37188,53.92032
Adults,20.08.2020,41.195789,54.683667
Voters,19.08.2020,42.224615,53.990748
Adults,19.08.2020,41.218221,54.618022
Voters,18.08.2020,42.186708,54.096482
Adults,18.08.2020,41.311415,54.543188
Adults,17.08.2020,41.355919,54.578043
Voters,17.08.2020,42.110153,54.191626
Adults,16.08.2020,40.793108,54.771434
Voters,16.08.2020,42.393737,54.262631
Voters,15.08.2020,42.010432,54.57737
Adults,15.08.2020,40.470256,55.079899
Adults,14.08.2020,40.465576,55.045725
Voters,14.08.2020,41.996961,54.561362
Voters,13.08.2020,42.20424,54.554212
Adults,13.08.2020,40.544764,55.067581
Adults,12.08.2020,40.51487,55.077561
Voters,12.08.2020,42.414112,54.353929
Adults,11.08.2020,40.43112,55.254182
Voters,11.08.2020,42.086772,54.395714
Voters,10.08.2020,41.988932,54.359047
Adults,10.08.2020,40.3861,55.366146
Voters,09.08.2020,41.954913,54.403005
Adults,09.08.2020,40.426433,55.224679
Adults,08.08.2020,40.426433,55.224679
Voters,08.08.2020,41.954913,54.403005
Voters,07.08.2020,41.954913,54.403005
Adults,07.08.2020,40.426433,55.224679
Voters,06.08.2020,41.782422,54.515465
Adults,06.08.2020,40.392858,55.190094
Adults,05.08.2020,40.506257,55.13284
Voters,05.08.2020,41.865495,54.492144
Voters,04.08.2020,42.254478,53.97219
Adults,04.08.2020,40.113621,55.351746
Voters,03.08.2020,42.296033,53.944971
Adults,03.08.2020,39.902188,55.518688
Voters,02.08.2020,42.200055,54.114457
Adults,02.08.2020,40.016978,55.25875
Adults,01.08.2020,40.016978,55.25875
Voters,01.08.2020,42.200055,54.114457
Adults,31.07.2020,40.016978,55.25875
Voters,31.07.2020,42.200055,54.114457
Voters,30.07.2020,41.296759,54.677211
Adults,30.07.2020,40.017417,55.253604
Voters,29.07.2020,41.138476,55.346823
Adults,29.07.2020,39.967624,55.69492
Voters,28.07.2020,40.344463,55.964711
Adults,28.07.2020,39.671966,55.809461
Adults,27.07.2020,39.617738,55.872736
Voters,27.07.2020,40.383729,55.894016
Voters,26.07.2020,40.77583,55.596234
Adults,26.07.2020,39.158068,56.383385
Adults,25.07.2020,39.153046,56.344261
Voters,25.07.2020,40.77583,55.596234
Adults,24.07.2020,39.153046,56.344261
Voters,24.07.2020,40.77583,55.596234
Voters,23.07.2020,40.931297,55.482465
Adults,23.07.2020,39.071247,56.438804
Adults,22.07.2020,39.085916,56.389319
Voters,22.07.2020,40.849557,55.620706
Adults,21.07.2020,39.140021,56.532695
Voters,21.07.2020,40.844588,55.502363
Voters,20.07.2020,41.109678,55.407245
Adults,20.07.2020,39.474642,56.303323
Adults,19.07.2020,39.497713,56.197452
Voters,19.07.2020,41.139075,55.354458
Adults,18.07.2020,39.566988,56.265487
Voters,18.07.2020,40.739294,55.192133
Voters,17.07.2020,40.739294,55.192133
Adults,17.07.2020,39.566988,56.265487
Voters,16.07.2020,40.943184,55.005862
Adults,16.07.2020,39.63104,56.269399
Adults,15.07.2020,39.593906,56.300045
Voters,15.07.2020,40.902731,55.062059
Voters,14.07.2020,41.242419,54.527883
Adults,14.07.2020,39.66195,56.35825
Adults,13.07.2020,39.622797,56.042254
Voters,13.07.2020,41.132169,54.679219
Voters,12.07.2020,41.090612,55.286956
Adults,12.07.2020,39.538852,55.968737
Adults,11.07.2020,39.538852,55.968737
Voters,11.07.2020,40.805233,55.548612
Adults,10.07.2020,39.538852,55.968737
Voters,10.07.2020,40.805233,55.548612
Voters,09.07.2020,40.740068,55.653048
Adults,09.07.2020,39.46973,55.996682
Voters,08.07.2020,40.721666,55.640398
Adults,08.07.2020,39.927464,55.884479
Voters,07.07.2020,40.863598,55.705694
Adults,07.07.2020,40.341115,55.733564
Adults,06.07.2020,40.127439,56.274332
Voters,06.07.2020,41.1416,55.573143
Voters,05.07.2020,40.985412,55.703865
Adults,05.07.2020,40.143646,56.410891
Adults,04.07.2020,40.143646,56.410891
Voters,04.07.2020,40.985412,55.703865
Adults,03.07.2020,40.143646,56.410891
Voters,03.07.2020,40.985412,55.703865
Voters,02.07.2020,40.895036,55.772391
Adults,02.07.2020,40.215539,56.337405
Adults,01.07.2020,40.135013,56.425815
Voters,01.07.2020,40.691403,56.069362
Adults,30.06.2020,40.083442,57.033869
Voters,30.06.2020,40.954983,55.809271
Voters,29.06.2020,41.138215,55.285319
Adults,29.06.2020,40.281183,56.777594
Voters,28.06.2020,40.923345,55.492882
Adults,28.06.2020,40.099868,56.873656
Adults,27.06.2020,40.099868,56.873656
Voters,27.06.2020,40.923345,55.492882
Voters,26.06.2020,40.923345,55.492882
Adults,26.06.2020,40.099868,56.873656
Voters,25.06.2020,40.82888,54.69656
